sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Kirklees Council,2,3,1,0,1,1,0
Thames Valley Police,2,4,3,1,1,0,0
King’s College Hospital NHS Foundation Trust,2,3,3,2,0,0,0
Central Manchester University Hospitals NHS Foundation Trust,2,4,1,0,0,2,0
Committee on Vaccination and Immunisation,2,5,1,0,0,2,0
The Great Western Hospital,2,3,0,0,0,1,1
Tendering District Council,2,2,0,0,0,2,0
Leicestershire NHS Trust,2,3,2,1,0,1,0
Oldham CCG,2,8,0,0,0,2,0
Office for Product Safety and Standards,2,5,1,0,0,2,0
British Maritime Federation,2,4,0,0,0,2,0
British Society for Allergy and Clinical Immunology,2,14,5,0,1,1,0
The General Medical Council,2,8,0,0,0,2,0
Cheshire and Wirral NHS Trust,2,5,1,1,0,1,0
British Cycling,2,4,2,1,1,0,0
Kettering General Hospital,2,10,5,0,1,1,0
City Hospitals NHS Trust,2,2,2,2,0,0,0
Ofcom,2,11,0,0,0,1,1
Churchgate Surgery,2,4,3,0,1,1,0
Nottingham County Council,2,6,4,1,0,1,0
The Barking Havering and Redbridge University NHS Trust,2,5,1,1,0,1,0
The Chief Fire Officer’s Association,2,2,0,0,0,2,0
Liverpool City Council,2,4,1,0,1,1,0
UK Health Security Agency,2,3,0,0,0,1,1
The Commissioner of Police of the Metropolis,2,11,12,0,1,1,0
Trafford CCG,2,3,3,0,0,2,0
Capita,2,4,4,2,0,0,0
Bristol City Council,2,2,0,0,0,2,0
Oxfordshire County Council,2,3,3,2,0,0,0
Canal and River Trust,2,3,2,1,0,1,0
Oxford University Hospitals NHS Foundation Trust,2,2,1,1,0,1,0
John Radcliffe Hospital,2,3,2,1,0,1,0
Chesterfield Royal Hospital NHS Foundation Trust,2,2,0,0,0,2,0
Cumbria Northumberland Tyne & Wear NHS Trust,2,4,1,1,0,1,0
Bradford District Care NHS Trust,2,8,4,1,1,0,0
United Lincolnshire Hospital,2,2,0,0,0,2,0
London Borough of Sutton,2,8,0,0,0,2,0
London Borough of Hackney,2,3,2,1,0,1,0
Sussex NHS Trust,2,3,2,1,1,0,0
Cambridgeshire County Council,2,2,0,0,0,1,1
Chesterfield Royal Hospital,2,5,1,0,1,1,0
Bournemouth Christchurch and Poole Council,2,4,2,0,0,2,0
Cambridge and Peterborough NHS Trust,2,7,0,0,0,2,0
London Borough of Southwark,2,6,2,1,0,1,0
Liverpool Heart and Chest Hospital,2,4,3,1,0,1,0
Local Government Association,2,9,5,1,0,1,0
Cardiff University,2,2,2,2,0,0,0
London Heliport,2,6,4,0,0,2,0
Kent Police,2,2,2,2,0,0,0
Manchester Mental Health and Social Care Trust,2,5,1,0,0,2,0
Manchester Mental Health NHS Trust,2,4,1,0,1,1,0
Croft Shifa Health Centre,2,2,0,0,0,1,1
Luton Borough Council,2,2,1,1,0,1,0
Brighton and Sussex University Hospitals,2,4,3,1,0,1,0
Cheshire Constabulary,2,18,0,0,0,1,1
Trafford Metropolitan Borough Council,2,5,3,1,1,0,0
The Priory Hospital,2,3,3,2,0,0,0
Brighton and Hove City Council,2,4,1,0,1,1,0
Options for Care Ltd,1,1,1,1,0,0,0
Rochcare,1,1,1,1,0,0,0
Rocky Lane Medical Centre,1,1,0,0,0,1,0
Renal Association,1,5,2,0,0,1,0
National Trust,1,2,2,1,0,0,0
Roche Diagnostics Limited,1,4,4,1,0,0,0
Ritchie Street Group Practice,1,1,1,1,0,0,0
Rochdale Adult Care,1,3,0,0,0,1,0
Neasham Road Surgery,1,2,2,1,0,0,0
Rochdale Heywood and Middleton Clinical Commissioning Group,1,2,1,0,0,1,0
Northumbria Health Trust,1,2,1,0,0,1,0
National Institution for Health and Care Excellence,1,3,0,0,0,1,0
Risedale Estates Limited,1,2,0,0,0,1,0
New Cross Hospital NHS Trust,1,2,0,0,0,1,0
Rochdale Borough Council,1,1,1,1,0,0,0
Northumbria Health Care Trust,1,1,1,1,0,0,0
National Screening Committee,1,3,2,0,0,1,0
Rookery Medical Centre,1,2,0,0,0,1,0
National Tree Safety Group,1,1,0,0,0,1,0
National Trading Standards,1,3,1,0,0,1,0
Resuscitation Council UK,1,2,0,0,0,1,0
Resuscitation Council (UK),1,2,0,0,0,1,0
Richmond Medical Centre,1,2,1,0,1,0,0
Oldham Care Commissioning Group,1,4,1,0,0,1,0
Road Highways Safety related deaths,1,1,0,0,0,1,0
Neville Hall Hospital,1,4,2,0,1,0,0
Riverside Rest Home,1,1,0,0,0,1,0
National Trading Standards Board,1,6,3,0,0,1,0
Orchard 2000 Pharmacy and General Pharmaceutical Council,1,1,0,0,0,1,0
New Court Surgery,1,1,1,1,0,0,0
Orchard Care Homes,1,1,0,0,0,1,0
Orchard Surgery,1,3,0,0,0,1,0
Roads and Highways – Kirklees Council,1,1,1,1,0,0,0
Richmond Clinic,1,2,2,1,0,0,0
National Rail Infrastructure Limited,1,1,0,0,0,1,0
National Police Council,1,2,1,0,0,1,0
North West Ambulance,1,4,0,0,0,1,0
Roundhouse,1,3,0,0,0,1,0
Rope Green Medical Centre,1,1,2,0,0,1,0
Nuttall Ltd,1,2,2,1,0,0,0
Nottingham City Council,1,1,1,1,0,0,0
"Oak Court House, Wolverhampton City Council",1,1,0,0,0,1,0
Royal Borough of Kensington and Chelsea,1,2,2,1,0,0,0
Royal Brompton Hospital,1,1,1,1,0,0,0
Oadby and Wigston Borough Council,1,3,2,0,0,1,0
OUH NHS Foundation Trust,1,1,1,1,0,0,0
ORCi,1,2,2,1,0,0,0
Nottingham Healthcare NHS Trust,1,4,0,0,0,1,0
National Ambulance Service Medical Directors,1,6,4,0,1,0,0
National Ambulance Service,1,1,0,0,0,1,0
National Ambulance Resilience Unit,1,2,1,0,0,1,0
Nant y Gaer Hall Nursing Home,1,1,1,1,0,0,0
Royal College of Nursing and Midwifery,1,2,1,0,0,1,0
Royal College of Obstetricians,1,5,2,0,0,1,0
National Clinical Director for Children & Young People,1,3,1,0,0,1,0
NSPCC,1,2,0,0,0,1,0
Nottingham Healthcare Trust,1,1,0,0,0,1,0
NPS/NOMS,1,2,0,0,0,1,0
Nursing & Midwifery Council,1,2,2,1,0,0,0
Nuffield Hospital,1,1,0,0,0,1,0
Nuffield Health,1,1,1,1,0,0,0
NHSBT Head Office,1,2,1,0,0,1,0
Nottinghamshire Safeguarding Children Board,1,5,4,0,0,1,0
Nottingham North and East,1,7,2,0,1,0,0
Nottingham Police,1,5,3,0,0,1,0
NHS University Hospital Bristol NHS Trust,1,2,0,0,0,1,0
Nottinghamshire Healthcare Trust,1,2,2,1,0,0,0
Nottingham West,1,7,2,0,1,0,0
National Autistic Society,1,6,3,0,0,1,0
Royal Borough of Greenwich,1,3,1,0,0,1,0
Rose Builders and Contractors Ltd,1,1,0,0,0,1,0
Old Catton Medical Practice,1,1,1,1,0,0,0
Roseberry Care Centres,1,1,1,1,0,0,0
Rosedale Care Home,1,1,1,1,0,0,0
National Institute for Clinical Excellence,1,2,0,0,0,0,1
Northumbria Police Service,1,3,0,0,0,1,0
Rosehill House Care Home,1,1,0,0,0,1,0
Northumbria Water,1,1,0,0,0,1,0
Roseland Care Home,1,1,0,0,0,1,0
Rosewood Healthcare Group,1,3,3,1,0,0,0
Rosewood Lodge Nursing Home,1,1,1,1,0,0,0
Rossendale Nursing Home,1,1,1,1,0,0,0
Rossmere Park Care Home,1,2,1,0,0,1,0
National Infusion and Vascular Access Society,1,5,0,0,0,0,1
Rotherham Borough Council,1,1,1,1,0,0,0
Old Bridge Surgery,1,2,0,0,0,0,1
National Coasteering Charter,1,1,0,0,0,1,0
Office of the Traffic Commissioner,1,4,4,1,0,0,0
Northwick Park Hospital,1,2,0,0,0,1,0
Rotherham NHS Trust,1,1,1,1,0,0,0
Royal Berkshire Hospital,1,2,0,0,0,1,0
Occupational Safety Manager,1,2,3,0,1,0,0
Oasis Recovery Communites,1,2,1,0,0,1,0
Oaks Medical Centre,1,2,0,0,0,1,0
National Health Service,1,2,1,0,0,1,0
Norwich Practices Health Centre,1,1,1,1,0,0,0
National Express West Midlands,1,1,1,1,0,0,0
Oakridge House Residential Home,1,2,1,0,1,0,0
Nottingham CCG,1,1,0,0,0,1,0
National College of Policing,1,3,0,0,0,1,0
Reinbek Care Home,1,1,1,1,0,0,0
Radcliffe Manor House Care Home,1,1,2,0,0,1,0
Regulatory Counsel and Disciplinary Officer,1,1,0,0,0,1,0
North East London NHS Foundation Trust – Child & Adult Mental Health Services,1,1,1,1,0,0,0
Princess Alexandra Hospital,1,1,0,0,0,1,0
Princess Alexander Hospital,1,3,4,0,1,0,0
Primebulk Shipmanagement Limited,1,1,0,0,0,1,0
Prime Minister's Office,1,2,2,1,0,0,0
North East London Foundation Trust Goodmayes Hospital,1,2,1,0,0,1,0
North East London Health and Care Partnership,1,5,0,0,0,1,0
Prime Life Limited,1,1,0,0,0,1,0
Prospect Park Hospital,1,2,0,0,0,1,0
Primary Care Support England,1,3,1,0,1,0,0
Pret a Manger,1,4,2,0,0,1,0
Pennine Care Mental Health Trust,1,2,0,0,0,1,0
President of the Royal College of Pathologists,1,2,1,0,0,1,0
Premier Rescue Ambulance Services,1,1,1,1,0,0,0
North East London Trust,1,1,1,1,0,0,0
Pennine Care Health Foundation NHS Trust,1,4,2,0,0,1,0
Princess Royal Hospital,1,1,1,1,0,0,0
Princess Royal University Hospital,1,1,0,0,0,1,0
Priority Dispatch Corporation,1,1,0,0,0,1,0
Priory Group,1,2,2,1,0,0,0
North Yorkshire County Council Highways Authority,1,1,0,0,0,1,0
Priory Group of Hospitals,1,4,3,0,0,1,0
North Devon County Council,1,1,2,0,0,1,0
Priory Hospital,1,1,1,1,0,0,0
North Yorkshire Police,1,2,2,1,0,0,0
Northampton General Hospital Trust,1,2,0,0,0,1,0
Priory Hospital Roehampton,1,3,1,0,0,1,0
Prism Medical UK Ltd,1,4,0,0,0,1,0
Prison Officers Association,1,5,0,0,0,1,0
Prison and Probation Ombudsman,1,2,0,0,0,1,0
Northamptonshire County Council,1,1,0,0,0,1,0
North Cumbria Integrated Care NHS Foundation Trust,1,1,0,0,0,1,0
North Essex Partnership University NHS Foundation,1,1,0,0,0,1,0
Prembrokeshire County Council,1,1,0,0,0,1,0
North Essex University NHS Trust,1,1,1,1,0,0,0
North West Fire Control,1,14,0,0,0,0,1
Plymouth Highways – Plymouth City Council,1,1,0,0,0,1,0
Police Service of Northern Ireland Belfast,1,1,0,0,0,1,0
North Wales Police,1,1,1,1,0,0,0
Pluss Work Choice,1,3,2,0,0,1,0
Pinderfields General Hospital,1,1,1,1,0,0,0
Physio Control UK Ltd,1,5,5,1,0,0,0
North Tyneside Hospital,1,2,1,0,0,1,0
Police and Prisons Ombudsman,1,4,1,0,0,1,0
Police of Metropolis,1,1,1,1,0,0,0
Policy and Commissioning Manager,1,1,1,1,0,0,0
Policy and Patient Safety Directorate,1,1,1,1,0,0,0
North Tyneside General Hospital,1,1,1,1,0,0,0
Phuket Highway District,1,1,0,0,0,1,0
North Somerset Council,1,2,2,1,0,0,0
Porthleven Harbour and Dock Company,1,2,3,0,1,0,0
North Laine Medical Centre,1,2,0,0,0,1,0
North Somerset Clinical Commissioning Group,1,2,0,0,0,1,0
North West Motorway Police Group,1,2,2,1,0,0,0
Phoenix Care Centre,1,1,1,1,0,0,0
North NHS Trust,1,1,0,0,0,1,0
North Midlands NHS Trust,1,1,0,0,0,1,0
Portsmouth Motocross Club,1,2,1,0,1,0,0
North Middlesex University Hopsital,1,2,1,0,0,1,0
Philips Electronics UK Ltd,1,1,2,0,0,1,0
North Middlesex Hospital,1,1,0,0,0,1,0
Pfizer,1,4,2,0,0,1,0
Persona Care and Support Ltd,1,2,2,1,0,0,0
Persimmon Homes Severn Valley,1,2,2,1,0,0,0
Pentree Lodge Home,1,1,1,1,0,0,0
Pennine NHS Trust,1,2,0,0,0,1,0
Proprietary Association,1,9,5,0,1,0,0
"Pelham House, West Sussex",1,1,1,1,0,0,0
Northfield Medical Practice,1,3,3,1,0,0,0
RPFI,1,2,0,0,0,1,0
North West Ambulance Service Trust NHS,1,1,1,1,0,0,0
Radcliffe Investment Properties,1,1,1,1,0,0,0
P3 Charity,1,1,1,1,0,0,0
Newark and Sherwood,1,7,2,0,1,0,0
Newbury Park Health Centre,1,1,0,0,0,1,0
Newcastle Upon Tyne City Council,1,1,1,1,0,0,0
Newcastle Upon Tyne NHS Trust,1,1,0,0,0,1,0
Public Health,1,2,3,0,1,0,0
PCRSteel Ltd.,1,2,0,0,0,1,0
Northern Care Limited,1,1,0,0,0,1,0
RICS,1,1,1,1,0,0,0
PJ Care,1,1,0,0,0,1,0
Newport County Council,1,1,0,0,0,1,0
PLASA,1,2,0,0,0,1,0
Oxleas NHS Mental Trust,1,2,1,0,0,1,0
Northern Rail,1,1,0,0,0,1,0
Rambleguard Ltd,1,3,1,0,0,1,0
Ramsay Healthcare UK,1,2,1,0,0,1,0
Ranc Care Home Ltd,1,1,1,1,0,0,0
Reading Borough Council,1,3,0,0,0,0,1
Reckitt Benckisher Healthcare UK Ltd,1,3,2,0,0,1,0
Red House Surgery,1,3,0,0,0,1,0
Oxleas NHS Foundation,1,2,1,0,1,0,0
Redbridge CCG,1,2,1,0,0,1,0
Reed Nursing Trust,1,2,3,0,1,0,0
Oxleas Mental Health Trust,1,1,0,0,0,1,0
Oxford University Hospital,1,1,0,0,0,1,0
New Scotland Yard,1,1,0,0,0,1,0
Regard Care,1,3,1,0,0,1,0
Regenesis Health Travel Limited,1,1,0,0,0,1,0
Northern Rail Limited,1,1,1,1,0,0,0
Newton House formerly Regency Hospital,1,1,0,0,0,1,0
RDaSH NHS Trust,1,2,0,0,0,1,0
RCPLT,1,6,3,0,0,1,0
Patrick Stead Hospital,1,2,0,0,0,1,0
North & Mid Wales Trunk Road Agency,1,1,1,1,0,0,0
Normanton Village View Nursing Home,1,3,0,0,0,1,0
Public Health Suicide Prevention Group,1,2,1,0,0,1,0
Public Health for the Isle of Wight,1,2,1,0,0,1,0
Quality Care Commission,1,5,0,0,0,0,1
Northamptonshire Healthcare NHS Trust,1,4,1,0,0,1,0
Peel Medical Practice,1,2,2,1,0,0,0
Peel Holdings,1,2,1,0,0,1,0
Peak Valley Housing Association,1,2,1,0,0,1,0
Peabody Trust,1,1,1,1,0,0,0
Norfolk County Council Adult Social Care,1,1,1,1,0,0,0
Northamptonshire Police,1,2,2,1,0,0,0
Pavillions,1,3,3,1,0,0,0
Paul Wainwright Construction Services Ltd,1,2,2,1,0,0,0
Patient Transport UK Ltd,1,1,0,0,0,1,0
RCI,1,2,0,0,0,1,0
Patient Safety Lead County Durham and Darlington NHS Foundation Trust,1,2,2,1,0,0,0
Parkhill Group of Companies,1,2,1,0,0,1,0
Quarry House,1,6,0,0,0,0,1
Nightingale Hospital,1,2,1,0,1,0,0
Royal College of Obstetrics and Gynaecology,1,2,1,0,0,1,0
Queen Elizabeth Hospital King’s Lynn NHS Foundation Trust,1,1,1,1,0,0,0
Queen Elizabeth Hospital Trust,1,4,0,0,0,1,0
Park Holiday UK Limited,1,1,1,1,0,0,0
Queen Mary’s Hospital for Children,1,1,1,1,0,0,0
Queen Victoria NHS Trust,1,3,3,1,0,0,0
Next Stage,1,2,2,1,0,0,0
Park & Francis Surgery,1,2,2,1,0,0,0
POM-EKO,1,3,1,0,0,1,0
Northern Care Alliance NHS Group,1,4,1,0,0,1,0
Park View Group Practice,1,3,0,0,0,1,0
South Warwickshire University NHS Foundation Trust,1,3,0,0,0,0,1
Royal Cornwall Hospital Trust,1,1,0,0,0,1,0
Twinglobe Care Homes Limited,1,1,1,1,0,0,0
Tricuro,1,1,1,1,0,0,0
Trent and Dove Social Housing,1,6,3,0,1,0,0
Treatment Direct Limited,1,2,1,0,0,1,0
Treanor Pujol Limited,1,1,0,0,0,1,0
Trauma and Orthopaedics Surgeon,1,1,0,0,0,1,0
Transport for West Midlands,1,3,1,0,0,1,0
Transport and Rural Affairs at Suffolk County Council,1,1,1,1,0,0,0
Transport Research Laboratory,1,2,3,0,1,0,0
"Transport Manager, Reading Borough Council",1,1,0,0,0,1,0
Train Services DLR,1,3,2,0,0,1,0
Trafford County Council,1,2,1,0,0,1,0
Trafford Council,1,2,1,0,0,1,0
Tradomi S L Transporte,1,1,0,0,0,1,0
Trading Standards Institute,1,4,3,0,1,0,0
Toxbase,1,1,1,1,0,0,0
Tower Hamlets Council,1,2,0,0,0,1,0
Totally Urgent Care,1,1,0,0,0,1,0
Torbay and South Devon NHS Trust,1,2,2,1,0,0,0
Tonic Construction Ltd,1,2,1,0,0,1,0
Together Housing,1,3,1,0,0,1,0
Tissue Viability Nurses,1,2,0,0,0,1,0
Timperley Care Home,1,2,1,0,0,1,0
Three Sisters Care Ltd,1,3,2,0,1,0,0
Tunstall Response,1,1,1,1,0,0,0
Tynant Nursing Home,1,1,1,1,0,0,0
Royal Derby Hospital,1,3,1,0,1,0,0
Tyne Housing Association,1,1,0,0,0,1,0
University of Manchester NHS Foundation Trust,1,1,0,0,0,1,0
University of Leicester Hospitals NHS Trust,1,1,0,0,0,1,0
University of Exeter,1,2,2,1,0,0,0
University of Birmingham,1,1,1,1,0,0,0
University Hospitals of Morecambe Bay NHS Trust,1,2,2,1,0,0,0
University Hospitals of Derby and Burton NHS Trust,1,1,1,1,0,0,0
University Hospitals North Midlands NHS Trust,1,1,1,1,0,0,0
University Hospitals Bristol and Weston NHS Foundation Trust,1,3,0,0,0,0,1
University Hospital of Wales,1,2,1,0,0,1,0
University Hospital Coventry,1,2,0,0,0,1,0
University College Hospital NHS Trust,1,1,0,0,0,1,0
University College Hospital,1,2,1,0,1,0,0
Universities and Colleges Admissions Service (UCAS),1,2,1,0,1,0,0
Unity MAT,1,2,0,0,0,1,0
United Response,1,1,0,0,0,1,0
URBN UK Ltd,1,1,1,1,0,0,0
UPS,1,2,2,1,0,0,0
UNMH,1,2,2,1,0,0,0
UK Home Care,1,9,5,0,1,0,0
UK Civil Aviation Authority,1,1,0,0,0,0,1
UK Care Services,1,2,0,0,0,1,0
UK Active,1,2,0,0,0,1,0
Tyne and Wear NHS Foundation Trust,1,1,1,1,0,0,0
Thornton and Ross Ltd,1,9,5,0,1,0,0
Thornton Heath Medical Practice,1,4,0,0,0,1,0
Thomas Cook,1,1,1,1,0,0,0
The Waterfield Practice,1,2,0,0,0,1,0
The Princess Alexandra Hospital NHS Trust,1,1,1,1,0,0,0
The Portland Hospital,1,1,1,1,0,0,0
The Peligoni Club,1,1,0,0,0,1,0
The Oaks and Woodcroft Care Home,1,1,1,1,0,0,0
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,1,2,0,0,0,1,0
The National Food Crime Unit Food Standard Agency,1,2,2,1,0,0,0
The National Counter Terrorism Security Office,1,9,5,0,1,0,0
The Moat Surgery,1,1,1,1,0,0,0
The Minister of State for Crime Prevention,1,3,1,0,0,1,0
The Medical Centre,1,1,1,1,0,0,0
The London Ambulance Service,1,9,5,0,1,0,0
The Limes Sheltered Housing,1,2,2,1,0,0,0
The Limehouse Practice,1,1,0,0,0,0,1
The Leeds and York Partnership NHS Trust,1,1,1,1,0,0,0
The Lakes Care Centre,1,1,1,1,0,0,0
The Ivy Grove Surgery,1,2,0,0,0,1,0
The Hub,1,2,1,0,0,1,0
The Grange Care Centre,1,1,1,1,0,0,0
The Glass and Glazing Federation,1,1,0,0,0,1,0
The General Dental Council,1,1,0,0,0,1,0
The Garage Equipment Association,1,4,2,0,0,1,0
The Forest of Marston Vale Trust,1,1,1,1,0,0,0
The Foreign Secretary,1,1,1,1,0,0,0
The Priority Group,1,2,1,0,1,0,0
The Priory Hospital Cheadle,1,2,0,0,0,1,0
The Prison Service,1,2,0,0,0,1,0
"The Royal Wolverhampton, New Cross Hospital",1,1,1,1,0,0,0
The Wallich Centre,1,1,1,1,0,0,0
The Village Medical Centre,1,1,0,0,0,1,0
The University Hospitals of Derby and Burton NHS FT,1,1,1,1,0,0,0
The Student Health Service,1,4,3,0,0,1,0
The Society of Radiographers,1,3,3,1,0,0,0
The Society of British Neurological Surgeons,1,4,0,0,0,1,0
The Sixth Form Colleges Association,1,3,2,0,1,0,0
The Secretary of State for Health and Social Care,1,5,0,0,0,1,0
The Scout Association,1,1,0,0,0,1,0
The Samaritans,1,2,1,0,0,1,0
The Royal Wolverhampton NHS Trust,1,1,1,1,0,0,0
The Queen Elizabeth Hospital,1,1,1,1,0,0,0
The Royal London Hospital,1,2,0,0,0,0,1
The Royal College of Emergency Medicine,1,3,0,0,0,1,0
The Royal Bolton Hospital,1,3,1,0,0,1,0
The Royal Albert Edward Infirmary,1,2,2,1,0,0,0
The Roundwood Medical Centre,1,4,2,0,0,1,0
The Road Haulage Association,1,2,2,1,0,0,0
The Right Honourable Theresa May MP,1,1,0,0,0,1,0
The Right Honourable Jeremy Hunt MP,1,3,0,0,0,1,0
The Resuscitation Council UK,1,1,0,0,0,1,0
The Range,1,1,0,0,0,1,0
University of North Midlands Hospital NHS Trust,1,1,1,1,0,0,0
University of South Wales,1,1,1,1,0,0,0
University of the Arts London,1,2,2,1,0,0,0
West Park Hospital,1,2,2,1,0,0,0
Wilsden Medical Practice,1,1,1,1,0,0,0
William Perkin High School,1,8,2,0,1,0,0
Wigan Life Centre,1,3,3,1,0,0,0
Wigan Discharge Team,1,1,0,0,0,1,0
Wigan Borough Clinical Commissioning Group,1,3,4,0,1,0,0
Widnes Hall Care Home,1,2,1,0,0,1,0
Wibsey and Queensbury Medical Practice,1,1,0,0,0,1,0
Whittington Hospital,1,1,1,1,0,0,0
Whitepost healthcare Group,1,1,0,0,0,1,0
Whitelock Development,1,4,4,1,0,0,0
White Branch Live Limited,1,3,0,0,0,1,0
Whiston Hospital,1,1,1,1,0,0,0
Whirlpool UK,1,4,3,0,1,0,0
Whipps Cross Hospital,1,1,1,1,0,0,0
Weymouth Street Hospital,1,1,1,1,0,0,0
Weston NHS Foundation Trust,1,2,0,0,0,1,0
Weston Area Health NHS Trust,1,2,0,0,0,1,0
Westlands Care Home,1,1,1,1,0,0,0
West Yorkshire and Harrogate Integrated Stroke Delivery Network,1,6,0,0,0,0,1
West Yorkshire Integrated Care System,1,2,0,0,0,0,1
West Yorkshire Fire and Rescue Service,1,3,1,0,0,1,0
West Timperley Medical Centre,1,1,1,1,0,0,0
West Sussex Clinical Commissioning Group,1,2,1,0,0,1,0
Winchmore Hill Practice,1,12,9,0,1,0,0
Windmill House Care Home,1,1,1,1,0,0,0
Wirral University Hospital Trust,1,1,1,1,0,0,0
Wychall Lane Surgery,1,3,3,1,0,0,0
Zelltec Limited,1,1,0,0,0,1,0
Youth Justice Board for England and Wales,1,1,1,1,0,0,0
Your Housing,1,1,0,0,0,1,0
Your Health Limited,1,1,1,1,0,0,0
Youngman,1,2,0,0,0,1,0
Yorkshire Water PLC,1,4,1,0,0,1,0
Yorkshire Care Equipment,1,3,1,0,0,1,0
Yorkshire Ambulance Service NHS Foundation Trust,1,2,0,0,0,1,0
YOI Doncaster,1,2,2,1,0,0,0
Wychavon District Council,1,1,0,0,0,1,0
Wrexham County Council,1,2,2,1,0,0,0
Wirral University Teaching Hospital NHS Foundation Trust,1,6,0,0,0,0,1
Wrexham County Borough Council,1,2,1,0,1,0,0
Worthing Homes,1,3,0,0,0,1,0
Worcestershire NHS Trust,1,1,0,0,0,1,0
Worcestershire County Council,1,1,0,0,0,1,0
Worcestershire Acute Hospital Trust,1,1,1,1,0,0,0
Woolwich Station Medical Centre,1,2,1,0,0,1,0
Woodley Centre Surgery,1,1,1,1,0,0,0
Woodlands Hospital,1,6,4,0,1,0,0
Wood Street Medical Centre,1,3,0,0,0,1,0
Wolverhampton University,1,5,0,0,0,0,1
West Quay Surgery,1,2,2,1,0,0,0
West Norfolk CCG,1,4,4,1,0,0,0
Unusual Rigging Ltd,1,2,0,0,0,1,0
West Midlands Fire Service,1,3,1,0,0,1,0
Walsall Metropolitan Borough,1,2,1,0,0,1,0
Walsall Mental Health Partnership,1,2,1,0,0,1,0
Walsall Manor Hospital Trust,1,1,1,1,0,0,0
Walsall MBC,1,4,3,0,0,1,0
Walsall Local Authority,1,3,2,0,1,0,0
Wales prevention of future deaths reports 2019 onwards,1,2,1,0,0,1,0
Wakefield District Safeguarding Adults Board,1,1,0,0,0,1,0
WISH,1,2,1,0,0,1,0
W M Morrisons PLC,1,1,1,1,0,0,0
W E Rawson Ltd,1,1,1,1,0,0,0
Volvo Group UK Limited,1,1,1,1,0,0,0
Virgin Care Services Limited,1,1,0,0,0,1,0
Virgin Care,1,3,3,1,0,0,0
Village Nursing and Care Home,1,1,0,0,0,1,0
Vascular Access Society of Britain and Ireland,1,5,2,0,0,1,0
Various please see PFD report,1,1,5,0,0,1,0
Vantage Drilling Company,1,2,1,0,1,0,0
Vale of Glamorgan Council,1,1,1,1,0,0,0
Vale Royal Area Highway Office,1,2,0,0,0,1,0
Urgent Health UK,1,4,0,0,0,1,0
Urgent Care NHS England,1,4,0,0,0,1,0
Urban Housing Services,1,3,3,1,0,0,0
Upwell Street Surgery,1,4,0,0,0,1,0
Walsall Metropolitan Borough Council,1,2,1,0,0,1,0
Wandsworth Borough Council,1,4,3,0,1,0,0
Wandsworth Consortium Drug and Alcohol Services,1,1,0,0,0,1,0
Welsh Ambulance Service Trust,1,3,2,0,0,1,0
West Midlands Ambulance Service University NHS Foundation Trust,1,5,0,0,0,0,1
West Mercia Constabulary,1,1,1,1,0,0,0
West London NHS Trust,1,1,0,0,0,1,0
West London Mental Health NHS Trust,1,2,0,0,0,1,0
West Ambulance Service Trust,1,2,2,1,0,0,0
Welsh Health Minister,1,3,0,0,0,1,0
Welsh Government – Department for Health and Social Service,1,2,0,0,0,0,1
Welsh Government Office,1,2,2,1,0,0,0
Welsh Cycling,1,3,1,0,1,0,0
Welsh Ambulance Service Trust WAST,1,2,0,0,0,1,0
Wellsky,1,3,1,0,0,1,0
Wandsworth Merton Richmond and Sutton Borough Council,1,2,1,0,1,0,0
Wells Road Surgery,1,1,1,1,0,0,0
Wells Pharmacy,1,3,2,0,1,0,0
Weightmans’s Solicitors,1,3,1,0,1,0,0
Weightmans LLP,1,2,1,0,1,0,0
We Are With You charity,1,4,3,0,1,0,0
Wayland Farms Limited,1,1,1,1,0,0,0
Waveney River Centre,1,1,1,1,0,0,0
Waste Industry Safety & Health Forum,1,1,1,1,0,0,0
Warwick Medical School,1,2,2,1,0,0,0
Wanstead Place Surgery,1,1,0,0,0,1,0
The Food Standards Agency,1,2,0,0,0,1,0
The Financial Conduct Authority,1,1,0,0,0,1,0
The Duchy of Cornwall,1,1,0,0,0,1,0
Shaw Healthcare,1,2,2,1,0,0,0
Somerset NHS Foundation Trust,1,1,1,1,0,0,0
Somerset County Council,1,3,4,0,1,0,0
Solihull Mental Health Trust,1,4,2,0,1,0,0
Society of British Neurological Surgeons,1,3,0,0,0,0,1
Social Services Truro Cornwall,1,3,3,1,0,0,0
SoS – Dept for Health,1,1,1,1,0,0,0
SoS of Health and Social Care,1,3,3,1,0,0,0
SoS for Education,1,1,1,1,0,0,0
SoS for DCMS,1,2,2,1,0,0,0
Slough Borough Council Highways Department,1,1,0,0,0,1,0
Slough Borough Council,1,1,1,1,0,0,0
Skillsforcare,1,3,0,0,0,1,0
Silver Birches Care Home,1,1,1,1,0,0,0
Shropshire Safeguarding Partnership,1,2,1,0,0,1,0
Shindig Events Limited,1,2,0,0,0,1,0
Sherwood Forest Hospitals NHS Foundation Trust,1,1,1,1,0,0,0
Sherwood Forest Hospital Trust,1,1,2,0,0,1,0
Shepherds Bush Medical Centre,1,2,0,0,0,1,0
Sheffield Hospitals NHS Trust,1,1,1,1,0,0,0
