sent_to,overdue,pending,received
Metropolitan Police service,1,0,0
Mid Essex CCG Trust,1,0,0
Mid Yorkshire Hospitals NHS Trust,0,0,2
Mid Yorkshire NHS Trust,0,0,1
Midgehole Working Mens Club,0,0,1
Midland Partnership NHS Trust,0,0,1
Midlands Partnership NHS Foundation Trust,0,0,2
Midlands Partnership NHS Foundation trust,0,0,1
Midlands Partnership NHS Trust,0,0,2
Midlands and Lancashire Commissioning Support Unit,1,0,0
Midwifery and Maternity Portsmouth Hospitals NHS Trust,1,0,0
Military of Defence,0,0,2
Milton Keynes CCG,0,0,3
Milton Keynes Council,0,0,2
Milton Keynes Hospital,0,0,2
Milton Keynes University Hospital,0,0,3
Minister for Health,1,0,0
Minister for Health Welsh Assembly Government,1,0,0
Minister for Health and Social Services,1,0,0
Minister for Prisons,1,0,0
"Minister of State for Disabled People, Health and Work",1,0,0
Minister of State for Prisons,0,0,1
Minister of Suicide Prevention,1,0,0
Ministry of Defence,1,0,3
Ministry of Justice,1,0,1
Ministry of Justice (Coroners),0,0,1
Monmouth County Council,1,0,0
Moorfields Eye Hospital NHS Foundation Trust,0,0,1
Motor Cross Federation,0,0,1
Mylan Pharmaceuticals,1,0,0
N.I.C.E,8,0,9
NEAS Foundation Trust,1,0,0
NEAS NHS Trust,1,0,0
NHS,2,0,0
NHS Birmingham and Solihull CCG,1,0,0
NHS Blood and Transplant,0,0,1
NHS Bristol Clinical Commissioning Group,1,0,0
NHS Calderdale CCG,1,0,0
NHS Care Commissioning Group,1,0,0
NHS Digital,0,0,8
NHS England,23,0,72
NHS England & NHS Improvement,1,0,0
NHS England CCG,1,0,0
NHS England NHS Improvements,0,0,1
NHS England: Department of Health,1,0,0
NHS Greater Manchester Integrated Care,0,0,2
NHS Hardwick,0,0,1
NHS Hardwick CCG,1,0,0
NHS Improvement,2,0,2
NHS Improvements,0,0,1
NHS Kernow,1,0,0
NHS Kernow Clinical Commissioning Group,1,0,0
NHS Lewisham Clinical Commissioning Group,1,0,0
NHS Manchester Clinical Commissioning Group,1,0,0
NHS Northern Eastern and Western Clinical Commissioning Group,1,0,0
NHS Northern Eastern and Western Devon CCG,1,0,0
"NHS Northern, Eastern and Western Devon Clinical Commissioning Group",0,0,1
NHS Northumberland Clinical Commissioning Group,1,0,0
NHS Oldham CCG,0,0,1
NHS Pathways,1,0,4
NHS Professionals Ltd,0,0,1
NHS Somerset Clinical Commissioning Group,1,0,0
NHS Stockport Clinical Commission Group,0,0,1
NHS Stockport Clinical Commissioning Group,0,0,1
NHS Trafford Clinical Commissioning Group,1,0,1
NHS Wales,1,0,1
"NHS, University Hospital Bristol NHS Trust",1,0,0
"NICE, Department of Health and Social Care",1,0,0
NOMS,6,0,10
NWAS,1,0,2
Nant y Gaer Hall Nursing Home,0,0,1
National Ambulance Resilience Unit,1,0,0
National Ambulance Service Medical Directors,1,0,0
National Association of Ambulance Medical Directors,2,0,0
National Autistic Society,1,0,0
National Clinical Director for Children & Young People,1,0,0
National Express West Midlands,0,0,1
National Highways,0,0,1
National Institute for Health & Care Excellence,1,0,1
National Offender Management Service,0,0,1
National Police Chiefs Council,1,0,0
National Police Chiefs’ Council,4,0,4
National Police Chief’s Council,1,0,1
National Police Council,1,0,0
National Probation Service,3,0,3
National Screening Committee,1,0,0
National Trading Standards,1,0,0
National Trading Standards Board,1,0,0
National Trust for the Isle of Wight,1,0,0
National Trust on the Isle of Wight,1,0,0
Neasham Road Surgery,0,0,1
Network Rail,1,0,22
Neville Hall Hospital,1,0,0
New Court Surgery,0,0,1
New Cross Hospital,1,0,0
Newark and Sherwood,1,0,0
Newcastle Upon Tyne City Council,0,0,1
Next Stage,0,0,1
Nightingale Hospital,0,0,1
Norfolk & Suffolk NHS Trust,0,0,5
Norfolk County Council,0,0,2
Norfolk County Council- Adult Social Care,0,0,1
Norfolk and Norwich University Hospital,1,0,0
Norfolk and Suffolk NHS Foundation Trust,1,0,0
Norfolk and Suffolk NHS Trust,0,0,1
North & Mid Wales Trunk Road Agency,0,0,1
North Bristol NHS Trust,0,0,2
North Cumbria Integrated Care Trust,0,0,1
North Cumbria University Hospital NHS Trust,0,0,1
North Cumbria University Hospitals NHS Trust,0,0,1
North Cumbria University NHS Trust: NHS England,0,0,2
North Devon County Council,1,0,0
North East Ambulance Service NHS Foundation Trust,0,0,2
North East Ambulance Service NHS Trust,0,0,2
North East London Foundation Trust,0,0,3
North East London Foundation Trust Goodmayes Hospital,1,0,0
North East London Foundation trust,0,0,1
North East London NHS Foundation Trust – Child & Adult Mental Health Services,0,0,1
North East London NHS Trust,1,0,0
North East London Trust,0,0,1
North Essex University NHS Trust,0,0,1
North Lincolnshire Council,0,0,1
North Manchester General Hospital,0,0,2
North Middlesex University Hopsital,1,0,0
North Middlesex University Hospital NHS Trust,0,0,1
North Somerset Council,0,0,1
North Tyneside General Hospital,0,0,1
North Tyneside Hospital,1,0,0
North Wales Police,0,0,1
North West Ambulance Service,1,0,2
North West Ambulance Service Trust NHS,0,0,1
North West Anglia NHS Foundation Trust,0,0,1
North West Anglia NHS Trust,0,0,1
North West Boroughs Healthcare NHS Foundation Trust,0,0,1
North West Boroughs Healthcare NHS Trust,0,0,1
North Yorkshire County Council,0,0,1
North Yorkshire Police,0,0,1
North east Ambulance Service NHS Trust,0,0,1
North west Ambulance Service,0,0,1
Northampton County Council,1,0,0
Northamptonshire Healthcare NHS Trust,1,0,0
Northamptonshire Police,0,0,1
Northern Care Alliance NHS Group,1,0,0
Northern Rail,1,0,0
Northern Rail Limited,0,0,1
"Northern, Eastern and Western Devon Clinical Commissioning Group",0,0,1
Northfield Medical Practice,0,0,1
Northumberland Fire and Rescue Service,0,0,1
Northumbria Health Care Trust,0,0,1
Northumbria Health Trust,1,0,0
Northumbria Police,0,0,2
Norwich Practices Health Centre,0,0,1
Nottingham City Clinical Commissioning Group,1,0,0
Nottingham City Clinical Commissioning Groups,1,0,0
Nottingham City Council,0,0,1
Nottingham County Council,1,0,1
Nottingham North and East,1,0,0
Nottingham Police,1,0,0
Nottingham University Hospital NHS Trust,1,0,1
Nottingham University Hospitals NHS Trust,0,0,3
Nottingham West,1,0,0
Nottinghamshire Healthcare NHS Foundation Trust,1,0,2
Nottinghamshire Healthcare NHS Trust,1,0,1
Nottinghamshire Safeguarding Children Board,1,0,0
Nuffield Health,0,0,1
Nursing & Midwifery Council,0,0,1
Nursing and Midwifery Council,3,0,1
Nuttall Ltd,0,0,1
ORCi,0,0,1
OUH NHS Foundation Trust,0,0,1
Oadby and Wigston Borough Council,1,0,0
Oasis Recovery Communites,1,0,0
Occupational Safety Manager,1,0,0
Office of the Traffic Commissioner,0,0,1
Ofsted,0,0,1
Old Catton Medical Practice,0,0,1
Oldham Care Commissioning Group,1,0,0
Oldham Council,1,0,1
One Hosing Group,0,0,1
One Housing Group,1,0,0
Options for Care Ltd,0,0,1
Oxford Health NHS Foundation Trust,0,0,1
Oxford Health NHS Trust,0,0,4
Oxford University Hospitals NHS Foundation Trust,0,0,1
Oxford University Hospitals NHS Trust,0,0,1
Oxfordshire County Council,0,0,1
Oxlea NHS Trust,1,0,0
Oxleas NHS Foundation,0,0,1
Oxleas NHS Foundation Trust,1,0,1
Oxleas NHS Mental Trust,1,0,0
Oxleas NHS Trust,1,0,4
P3 Charity,0,0,1
Park & Francis Surgery,0,0,1
Park Holiday UK Limited,0,0,1
Parkhill Group of Companies,1,0,0
"Patient Safety Lead, County Durham and Darlington NHS Foundation Trust",0,0,1
Pavillions,0,0,1
Peabody Trust,0,0,1
Peak Valley Housing Association,1,0,0
Peel Holdings,1,0,0
Peel Medical Practice,0,0,1
Pennine Acute Hospital NHS Trust,0,0,1
Pennine Acute Hospitals NHS Trust,1,0,3
Pennine Acute NHS Trust,3,0,0
Pennine Care Health Foundation NHS Trust,1,0,0
Pennine Care NHS Foundation Trust,0,0,8
Pennine Care NHS Trust,6,0,10
Pentree Lodge Home,0,0,1
Persimmon Homes Severn Valley,0,0,1
Persona Care and Support Ltd,0,0,1
Pfizer,1,0,0
Philips Electronics UK Ltd,1,0,0
Physio-Control UK Ltd,0,0,1
Pinderfields General Hospital,0,0,1
Pluss Work Choice,1,0,0
Plymouth Hospitals NHS Trust,0,0,3
Police and Prisons Ombudsman,1,0,0
Police of Metropolis,0,0,1
Portsmouth City Council,0,0,2
Portsmouth Hospitals NHS Trust,2,0,3
Portsmouth Motocross Club,0,0,1
Powys Teaching Health Board,1,0,0
Practice Plus Group,0,0,1
Premier Rescue Ambulance Services,0,0,1
President of the Royal College of Pathologists,1,0,0
Prestwich Hospital,0,0,1
Pret-a-Manger,1,0,0
Primary Care Support England,1,0,0
Prime Life Limited,1,0,0
Princess Alexander Hospital,1,0,0
Princess Royal Hospital,0,0,1
Priory Group of Hospitals,1,0,0
Priory Hospital Roehampton,1,0,0
Prison and Probation service,1,0,0
Probation Service,1,0,0
Proprietary Association,1,0,0
Public Health,0,0,1
Public Health England,2,0,2
Public Health for the Isle of Wight,1,0,0
"Public Health, Suicide Prevention Group",1,0,0
Queen Elizabeth Hospital,0,0,6
Queen Elizabeth Hospital King’s Lynn NHS Foundation Trust,0,0,1
Queen Elizabeth Hospital NHS Trust,0,0,1
Queen Mary’s Hospital for Children,0,0,1
Queen Victoria NHS Trust,0,0,1
Queens Elizabeth Hospital NHS Trust,0,0,1
Queen’s Hospital,0,0,2
RCA,1,0,0
RCPLT,1,0,0
RDaSH NHS Trust,1,0,0
REDACTED,1,0,1
RICS,0,0,1
Radcliffe Investment Properties,0,0,1
Radcliffe Manor House Care Home,1,0,0
Rambleguard Ltd,1,0,0
Ramsay Healthcare UK,1,0,0
Ranc Care Home Ltd,0,0,1
Reckitt Benckisher Healthcare (UK) Ltd,1,0,0
Redbridge CCG,1,0,0
Reed Nursing Trust,1,0,0
Regard Care,1,0,0
Reinbek Care Home,0,0,1
Renal Association,1,0,0
Resuscitation Council,0,0,2
Richmond Medical Centre,1,0,0
Ritchie Street Group Practice,0,0,1
Road Haulage Association,1,0,1
Rochcare,0,0,1
Rochdale Borough Council,0,0,1
"Rochdale, Heywood and Middleton Clinical Commissioning Group",1,0,0
Roche Diagnostics Limited,0,0,1
Rope Green Medical Centre,1,0,0
Roseberry Care Centres,0,0,1
Rosedale Care Home,0,0,1
Rosewood Healthcare Group,0,0,1
Rosewood Lodge Nursing Home,0,0,1
Rossendale Nursing Home,0,0,1
Rossmere Park Care Home,1,0,0
Rotherham Borough Council,0,0,1
Rotherham Hospital NHS Foundation Trust,0,0,1
Rotherham NHS Trust,0,0,1
Royal Berkshire NHS Foundation Trust,0,0,2
Royal Bolton Hospital,1,0,5
Royal Bolton Hospitals NHS Trust,1,0,0
Royal Borough of Greenwich,1,0,0
Royal Borough of Kensington and Chelsea,0,0,1
Royal Brompton Hospital,0,0,1
Royal College Emergency Medicine,1,0,0
Royal College of Anaesthetists,2,0,1
Royal College of Emergency Medicine,1,0,1
Royal College of GPs,1,0,0
Royal College of General Practitioners,2,0,0
Royal College of Midwives,0,0,1
Royal College of Nursing,0,0,1
Royal College of Nursing and Midwifery,1,0,0
Royal College of Obstetricians,1,0,0
Royal College of Obstetricians and Gynaecologists,2,0,2
Royal College of Obstetrics and Gynaecology,1,0,0
Royal College of Paediatricians,1,0,0
Royal College of Paediatrics and Child Health,2,0,0
Royal College of Physicians,3,0,0
Royal College of Psychiatrist,1,0,0
Royal College of Psychiatrists,2,0,1
Royal College of Radiologists,0,0,2
Royal College of Surgeons,1,0,1
Royal College of Surgeons of England,0,0,1
Royal Cornwall Hospital,0,0,3
Royal Derby Hospital,1,0,0
Royal Devon and Exeter NHS Foundation Trust,0,0,1
Royal Docks Medical Practice,1,0,0
Royal Free Hospital,0,0,3
Royal Free Hospital NHS Trust,0,0,1
Royal Free London NHS Trust,0,0,1
Royal Gwent Hospital,1,0,0
Royal Institute of British Architects,1,0,0
Royal Life Saving Society UK,0,0,1
Royal London Hospital,1,0,7
Royal National Lifeboat Institute,2,0,0
Royal National Lifeboat Institution,0,0,2
Royal Orthopeadic Hospital,0,0,1
Royal Pharmaceutical Society,0,0,1
Royal Stoke University Hospital,1,0,1
Royal Surrey County Hospital,1,0,0
Royal Sussex County Hospital,0,0,1
Royal United Hospital,0,0,2
"Royal United Hospital, Bath",1,0,0
Royal Wolverhampton NHS Trust,0,0,1
Royal Yachting Association,0,0,1
Rugby Football Union ,0,0,1
Rushcliffe,1,0,0
S & J Transport,1,0,0
SATH,0,0,1
SECAMB,0,0,1
SHSC,0,0,1
SW Yorks NHS Trust,1,0,0
Safety Assessment Federation,1,0,0
Saffronland Homes limited,1,0,0
Sainsburys PLC,1,0,0
Sainsbury’s,1,0,0
Salford Royal Foundation Trust,0,0,1
Salford Royal Hospital,0,0,3
Salford Royal Hospital NHS Trust,1,0,0
Salford Royal NHS Trust,1,0,1
Salford Royal NHs Trust,0,0,1
Sandwell Borough Council,1,0,0
Sandwell Council,0,0,1
Sandwell Local Authority,0,0,1
Sandwell and West Birmingham Hospitals NHS Trust,0,0,1
Sandwell and West Birmingham NHS Trust,1,0,0
Sapphire House,1,0,0
Scania,1,0,0
Scottish Cycling,1,0,0
Seaton and Colyton Medical Practice,0,0,1
Secretary for Communities and Local Government,0,0,1
Secretary for State for Health,1,0,0
Secretary of State for Defence,0,0,2
Secretary of State for Education,0,0,4
Secretary of State for Health,3,0,3
Secretary of State for Transport,3,0,5
Secretary of State for the Home Department,0,0,1
Shaw Healthcare,0,0,1
Shawe Lodge,0,0,1
Sheffield CCG,0,0,1
Sheffield Children’s Hospital,0,0,1
Sheffield Children’s NHS Trust,0,0,1
Sheffield City Council,0,0,3
Sheffield Council,1,0,0
Sheffield Hospitals NHS Trust,0,0,1
Sheffield Teaching Hospitals NHS Foundation Trust,0,0,3
Sheffield Teaching Hospitals NHS Trust,0,0,1
Sherwood Forest Hospital Trust,1,0,0
Sherwood Forest Hospitals NHS Foundation Trust,0,0,1
Shindig Events Limited,1,0,0
Shropshire Community Health NHS Trust,0,0,1
Shropshire Safeguarding Partnership,1,0,0
Silver Birches Care Home,0,0,1
Slough Borough Council,0,0,1
SoS for Education,0,0,1
SoS – Dept. for Health,0,0,1
Social Services Truro Cornwall,0,0,1
Solent NHS Trust,0,0,2
Solihull Mental Health Trust,1,0,0
Somerset County Council,0,0,1
Somerset NHS Foundation Trust,0,0,1
South Central Ambulance Service,0,0,1
South Central Ambulance Service NHS Trust,0,0,2
South Central Ambulance Services,1,0,1
South East Ambulance Service,0,0,2
South East Coast Ambulance Service,0,0,2
South East Coast Ambulance Services,0,0,1
South Eastern Railways,1,0,0
South Essex Partnership NHS Trust,1,0,0
South Essex Partnership Trust,1,0,0
South Lincolnshire Clinical Commissioning Group,1,0,0
South London & Maudsley NHS Trust,0,0,2
South London Islamic Centre,1,0,0
South London and Maudesley NHS Trust,1,0,0
South London and Maudsley NHS Foundation,0,0,1
South London and Maudsley NHS Foundation Trust,1,0,0
South London and Maudsley NHS Trust,1,0,1
South Manchester University Hospital NHS Trust,0,0,2
South Staffordshire & Shropshire NHS Trust,0,0,1
South Staffordshire and Shropshire Healthcare NHS Trust,0,0,1
South Staffordshire and Shropshire NHS Trust,1,0,0
South Tees Hospitals NHS Foundation Trust,0,0,1
South Tyneside Council,0,0,1
South Tyneside and Sunderland NHS Trust,0,0,1
South Wales Police,0,0,3
South West National Trust,0,0,1
South West Yorkshire Partnership,0,0,1
South West and St George’s Mental Health Trust,1,0,0
South Western Ambulance NHS Foundation Trust,0,0,1
South Western Ambulance Service,0,0,1
South Western Railway,0,0,1
South Western Railways,0,0,1
South Yorkshire Police,1,0,0
South Yorkshire Police HQ,0,0,1
Southern Health NHS Foundation Trust,0,0,3
Southern Health NHS Trust,1,0,1
"Speaker’s Counsel, for the attention of the Parliamentary Authorities at the Palace",1,0,0
Specsavers UK,0,0,1
Sphere Risk & Safety Management Ltd,1,0,0
Spire Bristol Hospital,0,0,1
Spire Harpenden Hospital,0,0,1
Sports Camp Tirol,0,0,1
St Chads Medical Practice,1,0,0
St Charles Hospital,0,0,1
St Georges Hospital,1,0,1
St Georges University Hospitals NHS Foundation Trust,1,0,0
St George’s Hospital,1,0,1
St George’s Mental NHS Trust,0,0,1
St George’s University Hospitals NHS Trust,1,0,0
St Giles Care Home,1,0,0
St Giles Nursing Home,0,0,1
St Helens Clinical Commissioning Group,0,0,1
St James’s University Hospital,1,0,0
St Mary’s Health Centre,0,0,1
St Mary’s Hospital NHS Trust,1,0,0
St Pancras Hospital,0,0,2
St Peter’s Hospital,0,0,1
St Richard’s Hospital,1,0,0
St Thomas Hospital,0,0,1
St Thomas NHS Foundation Trust,0,0,1
St. George’s University Hospitals NHS Foundation Trust,0,0,1
Stafford and Surrounds Clinical Commissioning Group,1,0,0
Staffordshire CCG,0,0,1
Staffordshire County Council,0,0,3
Staffordshire Police,0,0,1
Stepping Hill Hospital,0,0,3
StockXS Limited,1,0,0
Stockport Borough Council,0,0,2
Stockport CCG,0,0,2
Stockport Clinical Commissioning Group,0,0,2
Stockport Council,0,0,1
Stockport NHS Foundation Trust,1,0,7
Stockport NHS Foundation trust,0,0,1
Stockport NHS Trust,1,0,2
Stoke on Trent City Council,0,0,1
Stoke-on-Trent City Council,0,0,1
Stonefield Street Surgery,0,0,1
Stoneham Bass,0,0,1
Suffolk Safeguarding Partnership,0,0,1
Sunderland City Council,0,0,1
Sunrise Senior Living,0,0,2
"Surface Transport, Transport for London",1,0,0
Surrey & Borders Partnership NHS Trust,1,0,0
Surrey Constabulary,0,0,1
Surrey County Council,3,0,1
Surrey Downs Clinical Commissioning Group,0,0,1
Surrey Fire and Rescue Service,0,0,3
Surrey Local Highways Services Group Manager,0,0,1
Surrey Police,0,0,2
Surrey and Borders Partnership NHS Trust,0,0,1
Suspension Bridge Trustees,0,0,1
Sussex Community NHS Foundation Trust,0,0,1
Sussex NHS Trust,0,0,2
Sussex Partnership Foundation NHS Trust,0,0,1
Sussex Partnership NHS Foundation Trust,1,0,3
Sussex Partnership NHS Trust,0,0,6
Sussex Police,0,0,3
Sustrans,0,0,1
Swanage Medical Practice,0,0,1
Swansea Bay University Health Board,1,0,2
Swindon Borough Council,0,0,1
Swiss Cottage Special School,0,0,1
Sydenham Green Group General Practice,1,0,0
TFL,0,0,2
TRU,0,0,1
Tameside & Glossop Integrated Care NHS Foundation Trust,0,0,1
Tameside Borough Council,1,0,0
Tameside Clinical Commissioning Group,0,0,1
Tameside Council,1,0,0
Tameside General Hospital,3,0,3
Tameside Hospital NHS Foundation Trust,1,0,3
Tameside Hospital NHS Trust,0,0,2
Tameside Metropolitan Borough Council,0,0,1
Tameside and Glossop CCG,0,0,1
Tameside and Glossop Care NHS Trust,1,0,0
Tameside and Glossop Clinical Commissioning Group,0,0,1
Tameside and Glossop Integrated Care NHS Foundation Trust,0,0,2
Tanglewood Cloverleaf Care Home,0,0,1
"Tees, Esk and Wear Valley NHS Trust",1,0,0
"Tees, Esk and Wear Valleys NHS Foundation Trust",1,0,0
Tesco Store PLC,1,0,0
Tettenhall Medical Practice,0,0,1
Teva UK Ltd,0,0,1
Thames Valley Police,0,0,2
Thameside Prison,1,0,0
The AACE,0,0,1
The Advisory Council on the Misuse of Drugs,1,0,0
The Alexandra Court Care Home,0,0,1
The Bexley Medical Group,0,0,1
The Borchardt Medical Centre,1,0,0
The British Heart Foundation,1,0,0
The British Vehicle Rental and Leasing Association.,1,0,0
The Cambian Group,1,0,2
The Caravan Club,3,0,0
The Care Quality Commission,1,0,1
The Castle Rock Group,0,0,1
The Chief Executive of National Highways,0,0,1
The Chief of the Secret Intelligence Service,1,0,0
The College of Policing,0,0,1
The Commissioner of City of London Police,1,0,0
The Commissioner of Police of the Metropolis,2,0,0
The Cotswold Hunt,1,0,0
The Council of Hunting,1,0,0
The Dalmeny Hotal,0,0,1
The Department for Work and Pensions,0,0,1
The Difficult Airway Society,1,0,0
The Director-General of the Security Service,1,0,0
The Driver Vehicle Standards Agency,0,0,1
The Dudley Group NHS Trust,0,0,3
The Dudley NHS Trust,0,0,1
The Foreign Secretary,0,0,1
The Forest of Marston Vale Trust,0,0,1
The Garage Equipment Association,1,0,0
The Grange Care Centre,0,0,1
The Great Western Hospital NHS Foundation Trust,0,0,1
The Healthcare Safety Investigation Branch,1,0,1
The Highways Agency,0,0,1
The Home Office,1,0,2
The Home Secretary,0,0,1
The Hub,1,0,0
The Lakes Care Centre,0,0,1
The Limes Sheltered Housing,0,0,1
The London Ambulance Service,1,0,0
The Medical Centre,0,0,1
The Mid Yorkshire Hospitals NHS Trust,0,0,1
The Minister of State for Crime Prevention,1,0,0
The Moat Surgery,0,0,1
The National Counter Terrorism Security Office,1,0,0
"The National Food Crime Unit, Food Standard Agency",0,0,1
The National Police Chiefs Council,0,0,1
The New Lodge Nursing Home,0,0,1
The North West Ambulance Service,0,0,1
The Northern Care Alliance NHS Trust,1,0,2
The Nursing Midwifery Council,1,0,0
The Office of Rail & Road,1,0,0
The Office of Rail and Road,1,0,0
The Portland Hospital,0,0,1
The Princess Alexandra Hospital NHS Trust,0,0,1
The Priory Group,0,0,2
The Priory Hospital,0,0,3
The Queen Elizabeth Hospital,0,0,1
The Road Haulage Association,0,0,1
The Roundwood Medical Centre,1,0,0
The Royal Albert Edward Infirmary,0,0,1
The Royal Bolton Hospital,1,0,0
The Royal College of General Practitioners,0,0,1
The Royal Wolverhampton NHS Trust,0,0,1
The Samaritans,1,0,0
The Secretary of State for Transport,1,0,0
The Secretary of State for the Home Department,1,0,0
The Showmen’s Guild of Great Britain,3,0,0
The Sixth Form Colleges Association,1,0,0
The Society of Radiographers,0,0,1
The Student Health Service,1,0,0
The Wallich Centre,0,0,1
The Whittington Hospital NHS Trust,0,0,1
Thomas Cook,0,0,1
Thornton and Ross Ltd,1,0,0
Three Sisters Care Ltd,1,0,0
Timperley Care Home,1,0,0
Together Housing,1,0,0
Tonic Construction Ltd,1,0,0
Torbay and South Devon NHS Trust,0,0,1
Tower Hamlets Borough Council,0,0,1
Toxbase,0,0,1
Trading Standards Institute,1,0,0
Trafford Borough Council,3,0,0
Trafford Clinical Commissioning Group,1,0,1
Trafford Council,1,0,0
Trafford County Council,1,0,0
Trafford Metropolitan Borough Council,1,0,1
"Train Services, DLR",1,0,0
Transport for London,1,0,7
Transport for West Midlands,1,0,0
Treatment Direct Limited,1,0,0
Trent and Dove Social Housing,1,0,0
Tricuro,0,0,1
Tunstall Response,0,0,1
Turning Point,0,0,2
Twinglobe Care Homes Limited,0,0,1
Tynant Nursing Home,0,0,1
UCAS,0,0,2
UK Home Care,1,0,0
UNMH,0,0,1
URBN UK Ltd,0,0,1
United Lincolnshire Hospitals NHS Trust,0,0,2
United Lincolnshire Hospitals Trust,0,0,1
University College Hospital,1,0,0
University College Hospital NHS Trust,1,0,0
University College London Hospitals NHS Trust,0,0,1
University Health Board,0,0,5
University Hospital Birmingham NHS Foundation Trust,1,0,0
University Hospital Birmingham NHS Trust,0,0,1
University Hospital Lewisham,0,0,2
University Hospital Southampton NHS Foundation Trust,0,0,2
University Hospital of Derby and Burton,2,0,0
University Hospital of North Midalnds,0,0,1
University Hospital of North Midlands,0,0,1
University Hospitals Birmimgham NHS Trust,0,0,1
University Hospitals Birmingham NHS Foundation Trust,0,0,3
University Hospitals Birmingham NHS Trust,0,0,5
University Hospitals Bristol,0,0,1
University Hospitals Bristol NHS Trust,0,0,1
University Hospitals Leicester NHS Trust,0,0,1
University Hospitals North Midlands NHS Trust,0,0,1
University Hospitals Plymouth NHS Trust,1,0,2
University Hospitals Sussex NHS Foundation Trust,0,0,1
University Hospitals of Derby and Burton,0,0,1
University Hospitals of Leicester NHS Trust,1,0,1
University Hospitals of Morecambe Bay NHS Trust,0,0,1
University Hospitals of North Midlands,0,0,1
University of Birmingham,0,0,1
University of Exeter,0,0,1
University of North Midlands Hospital NHS Trust,0,0,1
University of South Wales,0,0,1
University of the Arts London,0,0,1
Urban Housing Services,0,0,1
Vale of Glamorgan Council,0,0,1
Vantage Drilling Company,0,0,1
Various,2,0,0
Various (please see PFD report),1,0,0
Various recipients – please see the report.,2,0,1
Vascular Access Society of Britain and Ireland,1,0,0
Virgin Care,0,0,1
Volvo Group (UK) Limited,0,0,1
W E Rawson Ltd,0,0,1
W M Morrisons PLC,0,0,1
Wales Ambulance Service NHS Trust,1,0,1
Wales prevention of future deaths reports (2019 onwards),1,0,0
Walsall Healthcare NHS Trust,0,0,3
Walsall Local Authority,1,0,0
Walsall MBC,1,0,0
Walsall Manor Hospital,1,0,1
Walsall Manor Hospital Trust,0,0,1
Walsall Mental Health Partnership,1,0,0
Walsall Metropolitan Borough,1,0,0
Walsall Metropolitan Borough Council,1,0,0
Wandsworth Borough Council,1,0,0
"Wandsworth, Merton, Richmond and Sutton Borough Council",1,0,0
Warwick Hospital,0,0,3
Warwick Medical School,0,0,1
Warwickshire County Council,0,0,1
Warwickshire Police,0,0,2
Waste Industry Safety & Health Forum,0,0,1
Watford General Hospital,0,0,2
Waveney River Centre,0,0,1
Wayland Farms Limited,0,0,1
We Are With You charity,0,0,1
Wells Pharmacy,1,0,0
Wells Road Surgery,0,0,1
Wellsky,1,0,0
Welsh Ambulance NHS Trust,0,0,3
Welsh Ambulance Service,0,0,1
Welsh Ambulance Service NHS Trust,1,0,3
Welsh Ambulance Service Trust,1,0,0
Welsh Ambulance Services,0,0,1
Welsh Ambulance Services NHS Trust,0,0,3
Welsh Ambulance Services NHS Trust.,1,0,0
Welsh Ambulance Trust,1,0,2
Welsh Assembly Government,4,0,2
Welsh Cycling,1,0,0
Welsh Government,1,0,3
Welsh Government Office,0,0,1
West Ambulance Service Trust,0,0,1
West London Mental Health Trust,0,0,1
West Mercia Constabulary,0,0,1
West Mercia Police,0,0,1
West Midlands Ambulance Service,0,0,4
West Midlands Fire Service,1,0,0
West Midlands Police,3,0,4
West Norfolk CCG,0,0,1
West Quay Surgery,0,0,1
West Suffolk Hospital,0,0,1
West Sussex Clinical Commissioning Group,1,0,0
West Sussex County Council,1,0,4
West Timperley Medical Centre,0,0,1
West Wales General Hospital,1,0,2
West Yorkshire Fire and Rescue Service,1,0,0
West Yorkshire Police,1,0,1
Western Sussex Hospital NHS Trust,0,0,2
Western Sussex Hospital Trust,0,0,1
Western Sussex Hospitals NHS Trust,0,0,1
Westlands Care Home,0,0,1
Weymouth Street Hospital,0,0,1
Whipps Cross Hospital,0,0,1
Whirlpool (UK) Appliances,0,0,2
Whirlpool UK,0,0,1
Whiston Hospital,0,0,1
Whitelock Development,0,0,1
Whittington Health NHS Trust,1,0,3
Whittington Hospital,0,0,1
Whittington Hospital NHS Trust,0,0,2
Wigan Borough Clinical Commissioning Group,1,0,0
Wigan Council,1,0,0
Wigan Life Centre,0,0,1
William Perkin High School,1,0,0
Wilsden Medical Practice,0,0,1
Wiltshire Police,0,0,3
Winchmore Hill Practice,1,0,0
Windmill House Care Home,0,0,1
Wirral University Hospital Trust,0,0,1
Wolverhampton City Council,1,0,0
Woodlands Hospital,0,0,1
Woodley Centre Surgery,0,0,1
Woolwich Station Medical Centre,1,0,0
Worcestershire Acute Hospital Trust,0,0,1
Worcestershire Acute Hospitals NHS Trust,0,0,1
Worcestershire Acute Hospitals NHS trust,0,0,1
Worcestershire Health and Care NHS Trust,0,0,1
Worcestershire Health and Care Trust,1,0,0
Wrexham County Council,0,0,1
Wrightington Wigan and Leigh NHS Foundation Trust,1,0,0
"Wrightington, Wigan and Leigh NHS Trust",0,0,1
Wychall Lane Surgery,0,0,1
Wye Valley NHS Trust,0,0,2
York Teaching Hospital NHS Trust,0,0,1
York Teaching Hospitals NHS Foundation Trust,1,0,0
Yorkshire Ambulance Service,0,0,2
